slide_id,bif,tiene_h5,vendor,mpp_x,objective_power,level0_w,level0_h,n_regiones,regiones_json,n_parches,paso_grilla,n_bandas_h5,bandas_json,error
130246,130246.bif,1,ventana,0.46500000000000002,20,52442,64000,1,"[{""i"":0,""x"":0,""y"":0,""w"":38400,""h"":64000}]",7458,256,2,"[{""y_min"":2112,""y_max"":31296,""x_min"":23470,""x_max"":48738,""n_parches"":3754},{""y_min"":34560,""y_max"":63168,""x_min"":20273,""x_max"":45155,""n_parches"":3704}]",
130256,130256.bif,1,ventana,0.46500000000000002,20,49520,46080,1,"[{""i"":0,""x"":0,""y"":0,""w"":37120,""h"":46080}]",5695,256,1,"[{""y_min"":1152,""y_max"":43776,""x_min"":14139,""x_max"":46002,""n_parches"":5695}]",
130301,130301.bif,1,ventana,0.46500000000000002,20,43391,53760,2,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":25600},{""i"":1,""x"":0,""y"":26880,""w"":28160,""h"":26880}]",4241,256,3,"[{""y_min"":4608,""y_max"":24000,""x_min"":19327,""x_max"":43263,""n_parches"":2097},{""y_min"":29952,""y_max"":30208,""x_min"":34559,""x_max"":35071,""n_parches"":6},{""y_min"":31616,""y_max"":51328,""x_min"":15871,""x_max"":39743,""n_parches"":2138}]",
130519,130519.bif,1,ventana,0.46500000000000002,20,44302,29440,1,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":29440}]",3112,256,1,"[{""y_min"":576,""y_max"":27072,""x_min"":16109,""x_max"":42901,""n_parches"":3112}]",
130778,130778.bif,1,ventana,0.46500000000000002,20,39845,29440,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":29440}]",3345,256,2,"[{""y_min"":1280,""y_max"":9920,""x_min"":13366,""x_max"":34352,""n_parches"":1112},{""y_min"":12224,""y_max"":26368,""x_min"":8122,""x_max"":39337,""n_parches"":2233}]",
130981-1,130981-1.bif,1,ventana,0.46500000000000002,20,43895,58880,1,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":58880}]",5891,256,2,"[{""y_min"":2176,""y_max"":29248,""x_min"":15036,""x_max"":42487,""n_parches"":3034},{""y_min"":31488,""y_max"":56704,""x_min"":14652,""x_max"":41911,""n_parches"":2857}]",
130981-2,130981-2.bif,1,ventana,0.46500000000000002,20,48048,60160,2,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":30720},{""i"":1,""x"":3840,""y"":30720,""w"":28160,""h"":29440}]",6368,256,2,"[{""y_min"":1280,""y_max"":29504,""x_min"":17274,""x_max"":41395,""n_parches"":3181},{""y_min"":33600,""y_max"":60032,""x_min"":20857,""x_max"":46513,""n_parches"":3187}]",
131055,131055.bif,1,ventana,0.46500000000000002,20,46055,61440,1,"[{""i"":0,""x"":0,""y"":0,""w"":37120,""h"":61440}]",8202,256,1,"[{""y_min"":0,""y_max"":61184,""x_min"":12857,""x_max"":44395,""n_parches"":8202}]",
131194,131194.bif,1,ventana,0.46500000000000002,20,42672,52480,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":52480}]",4470,256,3,"[{""y_min"":1088,""y_max"":23552,""x_min"":12411,""x_max"":37620,""n_parches"":2165},{""y_min"":25856,""y_max"":50368,""x_min"":15802,""x_max"":41331,""n_parches"":2298},{""y_min"":51968,""y_max"":52224,""x_min"":23671,""x_max"":24439,""n_parches"":7}]",
131307,131307.bif,1,ventana,0.46500000000000002,20,50814,39680,1,"[{""i"":0,""x"":0,""y"":0,""w"":43520,""h"":39680}]",5042,256,1,"[{""y_min"":1344,""y_max"":39488,""x_min"":9471,""x_max"":48830,""n_parches"":5042}]",
131309,131309.bif,1,ventana,0.46500000000000002,20,46905,61440,1,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":61440}]",8203,256,3,"[{""y_min"":0,""y_max"":256,""x_min"":31739,""x_max"":33531,""n_parches"":15},{""y_min"":1728,""y_max"":29760,""x_min"":18749,""x_max"":45050,""n_parches"":4117},{""y_min"":31552,""y_max"":59392,""x_min"":17917,""x_max"":44538,""n_parches"":4071}]",
131461-1,131461-1.bif,1,ventana,0.46500000000000002,20,42948,56320,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":56320}]",7839,256,3,"[{""y_min"":1088,""y_max"":25536,""x_min"":10864,""x_max"":37517,""n_parches"":3838},{""y_min"":29248,""y_max"":53056,""x_min"":14827,""x_max"":40087,""n_parches"":3974},{""y_min"":55168,""y_max"":56192,""x_min"":29654,""x_max"":30934,""n_parches"":27}]",
131461-2,131461-2.bif,1,ventana,0.46500000000000002,20,34339,48640,2,"[{""i"":0,""x"":0,""y"":0,""w"":19200,""h"":23040},{""i"":1,""x"":0,""y"":29440,""w"":20480,""h"":19200}]",2515,256,2,"[{""y_min"":4992,""y_max"":19072,""x_min"":15091,""x_max"":29677,""n_parches"":1220},{""y_min"":30848,""y_max"":46400,""x_min"":17329,""x_max"":32040,""n_parches"":1295}]",
131791,131791.bif,1,ventana,0.46500000000000002,20,47416,57600,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":57600}]",7824,256,2,"[{""y_min"":768,""y_max"":28416,""x_min"":15101,""x_max"":44152,""n_parches"":3812},{""y_min"":29312,""y_max"":57216,""x_min"":15101,""x_max"":43384,""n_parches"":4012}]",
131844,131844.bif,1,ventana,0.46500000000000002,20,42055,52480,2,"[{""i"":0,""x"":0,""y"":26880,""w"":23040,""h"":25600},{""i"":1,""x"":0,""y"":0,""w"":24320,""h"":24320}]",2381,256,2,"[{""y_min"":1344,""y_max"":21504,""x_min"":20196,""x_max"":37860,""n_parches"":1165},{""y_min"":29248,""y_max"":49920,""x_min"":19301,""x_max"":38732,""n_parches"":1216}]",
132144,132144.bif,1,ventana,0.46500000000000002,20,42398,48640,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":48640}]",3077,256,2,"[{""y_min"":1984,""y_max"":20416,""x_min"":12725,""x_max"":39842,""n_parches"":1385},{""y_min"":25152,""y_max"":45760,""x_min"":12214,""x_max"":37860,""n_parches"":1692}]",
132148,132148.bif,1,ventana,0.46500000000000002,20,43068,90880,3,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":21760},{""i"":1,""x"":0,""y"":46080,""w"":28160,""h"":23040},{""i"":2,""x"":10240,""y"":83200,""w"":10240,""h"":7680}]",4298,256,2,"[{""y_min"":2048,""y_max"":18432,""x_min"":15998,""x_max"":39932,""n_parches"":2099},{""y_min"":49600,""y_max"":66496,""x_min"":16254,""x_max"":40380,""n_parches"":2199}]",
132208,132208.bif,1,ventana,0.46500000000000002,20,44050,57600,1,"[{""i"":0,""x"":0,""y"":0,""w"":37120,""h"":57600}]",7851,256,3,"[{""y_min"":0,""y_max"":256,""x_min"":19371,""x_max"":20651,""n_parches"":9},{""y_min"":1088,""y_max"":28224,""x_min"":9462,""x_max"":38941,""n_parches"":3967},{""y_min"":29312,""y_max"":57280,""x_min"":8567,""x_max"":37662,""n_parches"":3875}]",
132844,132844.bif,1,ventana,0.46500000000000002,20,42587,39680,1,"[{""i"":0,""x"":0,""y"":0,""w"":35840,""h"":39680}]",2292,256,2,"[{""y_min"":1216,""y_max"":26432,""x_min"":8120,""x_max"":39200,""n_parches"":2094},{""y_min"":28992,""y_max"":38080,""x_min"":11829,""x_max"":39966,""n_parches"":198}]",
132896,132896.bif,1,ventana,0.46500000000000002,20,48647,51200,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":51200}]",5283,256,2,"[{""y_min"":1792,""y_max"":22848,""x_min"":21414,""x_max"":47241,""n_parches"":2438},{""y_min"":25920,""y_max"":48896,""x_min"":15342,""x_max"":40788,""n_parches"":2845}]",
132937,132937.bif,1,ventana,0.46500000000000002,20,42209,49920,1,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":49920}]",5697,256,3,"[{""y_min"":0,""y_max"":256,""x_min"":34982,""x_max"":38310,""n_parches"":26},{""y_min"":1600,""y_max"":23360,""x_min"":15860,""x_max"":40360,""n_parches"":2755},{""y_min"":25472,""y_max"":48320,""x_min"":12854,""x_max"":37866,""n_parches"":2916}]",
133003,133003.bif,1,ventana,0.46500000000000002,20,51694,33280,1,"[{""i"":0,""x"":0,""y"":0,""w"":48640,""h"":33280}]",7310,256,1,"[{""y_min"":1344,""y_max"":31040,""x_min"":4478,""x_max"":48753,""n_parches"":7310}]",
133013,133013.bif,1,ventana,0.46500000000000002,20,40069,58880,1,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":58880}]",7389,256,2,"[{""y_min"":1152,""y_max"":25856,""x_min"":10800,""x_max"":37977,""n_parches"":3653},{""y_min"":29632,""y_max"":56000,""x_min"":9777,""x_max"":37662,""n_parches"":3736}]",
133221,133221.bif,1,ventana,0.46500000000000002,20,52172,61440,1,"[{""i"":0,""x"":0,""y"":0,""w"":39680,""h"":61440}]",8530,256,2,"[{""y_min"":1216,""y_max"":29632,""x_min"":15728,""x_max"":47637,""n_parches"":4154},{""y_min"":31552,""y_max"":60864,""x_min"":14641,""x_max"":46103,""n_parches"":4376}]",
133223,133223.bif,1,ventana,0.46500000000000002,20,53658,38400,1,"[{""i"":0,""x"":0,""y"":0,""w"":49920,""h"":38400}]",4633,256,2,"[{""y_min"":1152,""y_max"":1920,""x_min"":36134,""x_max"":37158,""n_parches"":14},{""y_min"":3008,""y_max"":35648,""x_min"":4221,""x_max"":53342,""n_parches"":4619}]",
133677,133677.bif,1,ventana,0.46500000000000002,20,50495,58880,1,"[{""i"":0,""x"":0,""y"":0,""w"":43520,""h"":58880}]",8100,256,2,"[{""y_min"":0,""y_max"":56064,""x_min"":11071,""x_max"":44735,""n_parches"":8064},{""y_min"":57600,""y_max"":58752,""x_min"":20351,""x_max"":23295,""n_parches"":36}]",
133677-2,133677-2.bif,1,ventana,0.46500000000000002,20,45446,28160,1,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":28160}]",3444,256,1,"[{""y_min"":1152,""y_max"":24512,""x_min"":16107,""x_max"":42769,""n_parches"":3444}]",
133677-3,133677-3.bif,1,ventana,0.46500000000000002,20,43345,48640,1,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":48640}]",3527,256,2,"[{""y_min"":1600,""y_max"":22272,""x_min"":18348,""x_max"":39073,""n_parches"":1780},{""y_min"":26304,""y_max"":46848,""x_min"":17261,""x_max"":38114,""n_parches"":1747}]",
133681,133681.bif,1,ventana,0.46500000000000002,20,48472,52480,2,"[{""i"":0,""x"":2560,""y"":0,""w"":34560,""h"":26880},{""i"":1,""x"":0,""y"":25600,""w"":32000,""h"":26880}]",4313,256,2,"[{""y_min"":448,""y_max"":25664,""x_min"":16690,""x_max"":44641,""n_parches"":2116},{""y_min"":27584,""y_max"":52224,""x_min"":12022,""x_max"":40038,""n_parches"":2197}]",
133698,133698.bif,1,ventana,0.46500000000000002,20,52842,60160,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":60160}]",2566,256,3,"[{""y_min"":1728,""y_max"":23936,""x_min"":22262,""x_max"":50155,""n_parches"":1422},{""y_min"":25664,""y_max"":27712,""x_min"":28020,""x_max"":32690,""n_parches"":24},{""y_min"":32512,""y_max"":52992,""x_min"":20663,""x_max"":48301,""n_parches"":1120}]",
133738,,0,,,,,,,,,,,,sin .bif sin sufijo de tincion
133738-1,133738-1.bif,1,ventana,0.46500000000000002,20,41482,65280,1,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":65280}]",5829,256,2,"[{""y_min"":3264,""y_max"":32256,""x_min"":12463,""x_max"":39257,""n_parches"":2943},{""y_min"":33920,""y_max"":61952,""x_min"":12911,""x_max"":38936,""n_parches"":2886}]",
133738-2,133738-2.bif,1,ventana,0.46500000000000002,20,51001,56320,2,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":25600},{""i"":1,""x"":0,""y"":28160,""w"":26880,""h"":28160}]",3450,256,2,"[{""y_min"":1792,""y_max"":23488,""x_min"":27132,""x_max"":44603,""n_parches"":1670},{""y_min"":31040,""y_max"":53312,""x_min"":25468,""x_max"":43834,""n_parches"":1780}]",
133746,133746.bif,1,ventana,0.46500000000000002,20,53283,40960,1,"[{""i"":0,""x"":0,""y"":0,""w"":46080,""h"":40960}]",3670,256,2,"[{""y_min"":1344,""y_max"":29824,""x_min"":8443,""x_max"":48935,""n_parches"":3277},{""y_min"":30784,""y_max"":38464,""x_min"":10810,""x_max"":28849,""n_parches"":393}]",
133808-1,133808-1.bif,1,ventana,0.46500000000000002,20,42850,51200,1,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":51200}]",4690,256,2,"[{""y_min"":1152,""y_max"":22848,""x_min"":13430,""x_max"":39788,""n_parches"":2376},{""y_min"":26112,""y_max"":47744,""x_min"":12279,""x_max"":38700,""n_parches"":2314}]",
133808-2,133808-2.bif,1,ventana,0.46500000000000002,20,44362,49920,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":49920}]",3675,256,3,"[{""y_min"":2432,""y_max"":12416,""x_min"":16044,""x_max"":37594,""n_parches"":964},{""y_min"":13376,""y_max"":24768,""x_min"":19943,""x_max"":42513,""n_parches"":961},{""y_min"":27648,""y_max"":49344,""x_min"":11953,""x_max"":39509,""n_parches"":1750}]",
134057-1,134057-1.bif,1,ventana,0.46500000000000002,20,49180,40960,1,"[{""i"":0,""x"":0,""y"":0,""w"":46080,""h"":40960}]",4802,256,2,"[{""y_min"":1152,""y_max"":32320,""x_min"":3197,""x_max"":47332,""n_parches"":4675},{""y_min"":33920,""y_max"":38144,""x_min"":19313,""x_max"":28012,""n_parches"":127}]",
134057-2,134057-2.bif,1,ventana,0.46500000000000002,20,51326,28160,1,"[{""i"":0,""x"":0,""y"":0,""w"":47360,""h"":28160}]",3618,256,1,"[{""y_min"":1920,""y_max"":25472,""x_min"":5247,""x_max"":47038,""n_parches"":3618}]",
134425,134425.bif,1,ventana,0.46500000000000002,20,52227,40960,1,"[{""i"":0,""x"":0,""y"":0,""w"":43520,""h"":40960}]",4554,256,2,"[{""y_min"":1984,""y_max"":33472,""x_min"":10483,""x_max"":50889,""n_parches"":4492},{""y_min"":35520,""y_max"":37824,""x_min"":19880,""x_max"":23208,""n_parches"":62}]",
134522,134522.bif,1,ventana,0.46500000000000002,20,45681,29440,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":29440}]",2573,256,1,"[{""y_min"":1984,""y_max"":26944,""x_min"":13947,""x_max"":43251,""n_parches"":2573}]",
134757,134757.bif,1,ventana,0.46500000000000002,20,45459,34560,1,"[{""i"":0,""x"":0,""y"":0,""w"":35840,""h"":34560}]",2011,256,1,"[{""y_min"":2048,""y_max"":29248,""x_min"":10805,""x_max"":42969,""n_parches"":2011}]",
134845,134845.bif,1,ventana,0.46500000000000002,20,48781,52480,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":52480}]",7792,256,2,"[{""y_min"":1536,""y_max"":25344,""x_min"":17645,""x_max"":46635,""n_parches"":4084},{""y_min"":26880,""y_max"":49984,""x_min"":17453,""x_max"":45023,""n_parches"":3708}]",
134888-1,134888-1.bif,1,ventana,0.46500000000000002,20,47482,37120,1,"[{""i"":0,""x"":0,""y"":0,""w"":42240,""h"":37120}]",4751,256,2,"[{""y_min"":3840,""y_max"":32256,""x_min"":6655,""x_max"":44859,""n_parches"":4702},{""y_min"":34112,""y_max"":36160,""x_min"":19261,""x_max"":22077,""n_parches"":49}]",
134888-2,134888-2.bif,1,ventana,0.46500000000000002,20,45557,90880,2,"[{""i"":0,""x"":0,""y"":0,""w"":3840,""h"":2560},{""i"":1,""x"":1280,""y"":49920,""w"":37120,""h"":40960}]",3608,256,4,"[{""y_min"":0,""y_max"":256,""x_min"":8317,""x_max"":9341,""n_parches"":8},{""y_min"":53056,""y_max"":54592,""x_min"":30456,""x_max"":32760,""n_parches"":36},{""y_min"":55936,""y_max"":58752,""x_min"":34679,""x_max"":38775,""n_parches"":112},{""y_min"":61696,""y_max"":89536,""x_min"":11069,""x_max"":43510,""n_parches"":3452}]",
134888-3,134888-3.bif,1,ventana,0.46500000000000002,20,41504,51200,1,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":51200}]",2453,256,4,"[{""y_min"":4224,""y_max"":5504,""x_min"":28330,""x_max"":31784,""n_parches"":46},{""y_min"":6528,""y_max"":20928,""x_min"":21679,""x_max"":38755,""n_parches"":1145},{""y_min"":30336,""y_max"":31616,""x_min"":27754,""x_max"":32487,""n_parches"":51},{""y_min"":32704,""y_max"":47744,""x_min"":20720,""x_max"":38180,""n_parches"":1211}]",
135132-1,135132-1.bif,1,ventana,0.46500000000000002,20,52550,60160,1,"[{""i"":0,""x"":0,""y"":0,""w"":44800,""h"":60160}]",6472,256,2,"[{""y_min"":1408,""y_max"":34624,""x_min"":9333,""x_max"":51101,""n_parches"":4278},{""y_min"":35520,""y_max"":58240,""x_min"":13808,""x_max"":46548,""n_parches"":2194}]",
135132-2,135132-2.bif,1,ventana,0.46500000000000002,20,50120,34560,4,"[{""i"":0,""x"":0,""y"":1280,""w"":20480,""h"":17920},{""i"":1,""x"":1280,""y"":20480,""w"":12800,""h"":11520},{""i"":2,""x"":17920,""y"":21760,""w"":19200,""h"":12800},{""i"":3,""x"":21760,""y"":0,""w"":17920,""h"":21760}]",4989,256,2,"[{""y_min"":1280,""y_max"":18688,""x_min"":11635,""x_max"":45786,""n_parches"":3397},{""y_min"":22336,""y_max"":31872,""x_min"":13169,""x_max"":45020,""n_parches"":1592}]",
135146,135146.bif,1,ventana,0.46500000000000002,20,40911,46080,2,"[{""i"":0,""x"":0,""y"":25600,""w"":17920,""h"":20480},{""i"":1,""x"":1280,""y"":0,""w"":21760,""h"":21760}]",1799,256,2,"[{""y_min"":3328,""y_max"":18624,""x_min"":21222,""x_max"":36440,""n_parches"":897},{""y_min"":27584,""y_max"":42816,""x_min"":18985,""x_max"":34138,""n_parches"":902}]",
135242,135242.bif,1,ventana,0.46500000000000002,20,49416,49920,1,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":49920}]",5397,256,2,"[{""y_min"":768,""y_max"":22272,""x_min"":18666,""x_max"":47196,""n_parches"":2593},{""y_min"":25344,""y_max"":47616,""x_min"":19497,""x_max"":48155,""n_parches"":2804}]",
135295,135295.bif,1,ventana,0.46500000000000002,20,50422,53760,1,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":53760}]",4125,256,3,"[{""y_min"":0,""y_max"":3904,""x_min"":24635,""x_max"":46391,""n_parches"":175},{""y_min"":4864,""y_max"":27648,""x_min"":18428,""x_max"":46519,""n_parches"":2017},{""y_min"":28608,""y_max"":52800,""x_min"":18364,""x_max"":46775,""n_parches"":1933}]",
135299,135299.bif,1,ventana,0.46500000000000002,20,39919,25600,1,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":25600}]",2307,256,1,"[{""y_min"":1344,""y_max"":22976,""x_min"":14713,""x_max"":37170,""n_parches"":2307}]",
135353,135353.bif,1,ventana,0.46500000000000002,20,49654,55040,2,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":26880},{""i"":1,""x"":2560,""y"":28160,""w"":33280,""h"":26880}]",5320,256,2,"[{""y_min"":1728,""y_max"":23680,""x_min"":15548,""x_max"":45496,""n_parches"":2685},{""y_min"":30912,""y_max"":52352,""x_min"":18620,""x_max"":47544,""n_parches"":2635}]",
135492,135492.bif,1,ventana,0.46500000000000002,20,42072,48640,2,"[{""i"":0,""x"":0,""y"":24320,""w"":28160,""h"":24320},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":24320}]",4392,256,2,"[{""y_min"":2816,""y_max"":21696,""x_min"":14706,""x_max"":39775,""n_parches"":2237},{""y_min"":28096,""y_max"":46080,""x_min"":13043,""x_max"":37345,""n_parches"":2155}]",
135924,135924.bif,1,ventana,0.46500000000000002,20,35405,48640,2,"[{""i"":0,""x"":2560,""y"":0,""w"":24320,""h"":21760},{""i"":1,""x"":0,""y"":26880,""w"":24320,""h"":21760}]",2940,256,2,"[{""y_min"":1216,""y_max"":18112,""x_min"":14443,""x_max"":30744,""n_parches"":1412},{""y_min"":28736,""y_max"":45632,""x_min"":10864,""x_max"":28891,""n_parches"":1528}]",
135984,135984.bif,1,ventana,0.46500000000000002,20,41718,57600,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":57600}]",9022,256,2,"[{""y_min"":1152,""y_max"":27520,""x_min"":9661,""x_max"":39353,""n_parches"":4491},{""y_min"":30336,""y_max"":56576,""x_min"":9213,""x_max"":39225,""n_parches"":4531}]",
136247,136247.bif,1,ventana,0.46500000000000002,20,38786,55040,2,"[{""i"":0,""x"":0,""y"":29440,""w"":25600,""h"":25600},{""i"":1,""x"":2560,""y"":0,""w"":26880,""h"":25600}]",2918,256,2,"[{""y_min"":1408,""y_max"":21504,""x_min"":15335,""x_max"":36177,""n_parches"":1487},{""y_min"":31680,""y_max"":48768,""x_min"":11821,""x_max"":32983,""n_parches"":1431}]",
136248,136248.bif,1,ventana,0.46500000000000002,20,38786,55040,2,"[{""i"":0,""x"":0,""y"":29440,""w"":25600,""h"":25600},{""i"":1,""x"":2560,""y"":0,""w"":26880,""h"":25600}]",2918,256,2,"[{""y_min"":1408,""y_max"":21504,""x_min"":15335,""x_max"":36177,""n_parches"":1487},{""y_min"":31680,""y_max"":48768,""x_min"":11821,""x_max"":32983,""n_parches"":1431}]",
