marca,x,y,lado_px,en_region_anotada,dmin_px,dmin_um,acreditada,deteccion,det_x,det_y
0,44231.3,14592.1,40.0,True,241.7,112.4,False,-1,,
1,44027.6,14730.9,48.0,True,482.1,224.2,False,-1,,
2,25854.2,17256.3,29.0,True,1.6,0.7,True,20,25855.1,17255.0
3,20490.1,16763.4,36.0,True,6.1,2.9,True,18,20495.9,16761.4
4,15389.8,20598.0,43.0,True,784.5,364.8,False,-1,,
5,27232.4,16618.5,26.0,True,1517.3,705.5,False,-1,,
6,44174.6,14982.9,32.0,True,311.9,145.0,False,-1,,
7,18925.6,16529.1,52.0,True,553.5,257.4,False,-1,,
8,26095.5,17563.6,33.0,True,391.2,181.9,False,-1,,
9,30496.7,5486.9,22.0,True,1.3,0.6,True,26,30495.4,5487.1
10,19033.7,16355.7,57.0,True,351.1,163.3,False,-1,,
11,18796.4,16445.2,32.0,True,555.5,258.3,False,-1,,
12,29281.3,5851.9,42.0,True,6.4,3.0,True,29,29286.8,5855.2
13,19080.3,16580.8,36.0,True,557.0,259.0,False,-1,,
14,25549.4,25881.9,30.0,True,2254.1,1048.2,False,-1,,
15,26260.6,17163.7,35.0,True,415.7,193.3,False,-1,,
16,26947.6,15809.9,32.0,True,1643.3,764.1,False,-1,,
