marca,x,y,lado_px,en_region_anotada,dmin_px,dmin_um,acreditada,deteccion,det_x,det_y
0,40444.0,6300.8,66.0,True,1.7,0.8,True,87,40443.0,6302.2
1,18523.1,18415.4,54.0,True,949.3,441.4,False,-1,,
2,25912.0,21287.8,66.0,True,838.2,389.8,False,-1,,
3,40763.0,6189.8,66.0,True,339.2,157.7,False,-1,,
4,28841.5,9903.9,44.0,True,4.8,2.3,True,65,28845.8,9901.7
5,18546.8,21143.4,36.0,True,1307.4,607.9,False,-1,,
6,23315.4,17466.3,56.0,True,1254.9,583.5,False,-1,,
7,26402.3,21916.4,34.0,True,1569.0,729.6,False,-1,,
8,17641.6,18196.5,42.0,True,845.0,392.9,False,-1,,
9,19862.9,24218.6,36.0,True,864.5,402.0,False,-1,,
10,19225.1,21631.9,45.0,True,676.5,314.6,False,-1,,
11,20010.5,21688.9,44.0,True,5.6,2.6,True,32,20015.3,21691.6
12,19955.8,22056.9,30.0,True,370.1,172.1,False,-1,,
13,26342.5,21816.9,44.0,True,1474.4,685.6,False,-1,,
14,17772.8,17283.9,30.0,True,3.1,1.4,True,14,17773.6,17281.0
15,20353.0,21715.8,66.0,True,0.8,0.4,True,33,20353.0,21715.1
16,24841.0,21347.8,66.0,True,482.7,224.4,False,-1,,
17,23530.9,18189.2,46.0,True,510.1,237.2,False,-1,,
18,24610.0,21445.8,66.0,True,712.5,331.3,False,-1,,
19,18485.5,18601.9,44.0,True,1113.0,517.5,False,-1,,
