marca,x,y,lado_px,en_region_anotada,dmin_px,dmin_um,acreditada,deteccion,det_x,det_y
0,34951.8,14379.7,31.0,True,3116.6,1449.2,False,-1,,
1,35163.8,14371.9,26.0,True,2914.9,1355.4,False,-1,,
2,39169.5,14361.9,27.0,True,1639.7,762.5,False,-1,,
3,39103.8,14286.0,31.0,True,1541.1,716.6,False,-1,,
4,29537.8,14847.9,26.0,True,8486.7,3946.3,False,-1,,
5,34742.8,12932.9,26.0,True,3172.2,1475.1,False,-1,,
