grupo,n_laminas,slots_media,slots_std,slots_min,slots_max,slots_mediana,expertos_media,expertos_std,expertos_min,expertos_max,sobre_cota_media,sobre_cota_min,sobre_cota_max,masa_sobre_cota_media,parches_media,parches_min,parches_max,rho_slots_vs_parches,p_spearman
TODAS,1858,159.53899246900357,26.325237520266977,65.02025355401615,227.86426724273164,161.75498298962415,29.97924805414276,0.010548755054906697,29.9253344522292,29.999248834694253,81.6286329386437,43.0,113.0,0.7096886291920594,9303.928955866522,96.0,53305.0,0.14114071169413636,9.943186545205074e-10
tipo_histologico_3clases_ci,1013,165.5312736870849,24.880327940436665,77.87296459542713,227.86426724273164,167.6951975871051,29.976952029367123,0.011072672331484816,29.9253344522292,29.996794064098044,84.31293188548865,51.0,113.0,0.7075015867600923,8724.461994076999,96.0,53305.0,0.24828827266869236,1.0698567059759592e-15
carcinoma_ductal_insitu_presente_ci_reform,429,158.27916543073715,28.04810877042346,75.73766960141471,215.16521549032223,161.51061240766347,29.980563845312354,0.0097267944485992,29.926118765566365,29.999248834694253,80.80885780885781,51.0,105.0,0.7081765392035944,9789.659673659673,96.0,37173.0,0.09333576009748461,0.053386911108373354
invasion_linfatica_vascular_ci_reform,416,146.2464081553015,22.666263427273606,65.02025355401615,221.53575895688442,145.48299900634854,29.983482185599414,0.008291431257573676,29.944703178269258,29.997346432193897,75.9375,43.0,108.0,0.7165736306070462,10214.076923076924,96.0,34549.0,0.13102401530162633,0.00745333916965098
cohorte:TCGA,981,162.1781219949885,24.680568111297116,85.47661679417136,224.0950837995332,164.18095388647038,29.978711483718243,0.010812990570068999,29.9253344522292,29.996471487759276,82.36391437308869,53.0,109.0,0.7069182193043365,12194.600407747197,154.0,53305.0,0.09350862335606054,0.0033736514789160558
cohorte:HistAI,688,154.910839065996,27.588335633105135,65.02025355401615,227.86426724273164,156.56084420398253,29.979814603646876,0.01019311624432551,29.937155465449965,29.999248834694253,80.75,43.0,113.0,0.7170031427580167,6262.940406976744,96.0,34549.0,0.16815774057824087,9.235925172666253e-06
cohorte:privado,189,162.68811139110966,27.642874884065304,80.04961489081145,214.29054630969176,164.20785603028057,29.97997075005612,0.010333943718511585,29.939673899814892,29.99529551666291,81.01058201058201,52.0,103.0,0.6974419983268627,5369.809523809524,1056.0,18304.0,0.011151028651123126,0.8789589720867407
