,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.4057142857142857,0.7912087912087913,0.75,0.8181818181818181
1,1,0.8342857142857143,0.6377551020408163,0.84375,0.7714285714285715
2,2,0.7428571428571429,0.8057142857142857,0.75,0.875
3,3,0.835978835978836,0.7635467980295567,0.7647058823529411,0.8055555555555556
4,4,0.8423645320197044,0.8742857142857143,0.8611111111111112,0.84375
