expert,mean_score
0,2.081481e-04
1,2.164174e-04
2,2.159605e-04
3,2.103550e-04
4,2.056821e-04
5,2.160044e-04
6,2.110882e-04
7,2.000493e-04
8,2.001506e-04
9,2.032925e-04
10,2.112031e-04
11,2.121104e-04
12,2.052669e-04
13,2.075848e-04
14,2.014300e-04
15,2.144217e-04
16,2.096378e-04
17,2.057300e-04
18,2.131897e-04
19,2.115967e-04
20,2.058730e-04
21,2.096030e-04
22,2.025072e-04
23,2.044127e-04
24,2.109675e-04
25,2.074907e-04
26,2.231179e-04
27,2.095799e-04
28,2.047006e-04
29,1.924281e-04
