rank,slot,peso_pct,masa_acum_pct
1,e15·s7,3.09,3.1
2,e25·s0,2.892,6.0
3,e28·s4,2.438,8.4
4,e11·s8,1.723,10.1
5,e29·s0,1.595,11.7
6,e15·s8,1.562,13.3
7,e0·s7,1.511,14.8
8,e24·s2,1.413,16.2
9,e17·s3,1.279,17.5
10,e29·s3,1.249,18.8
11,e12·s7,1.232,20.0
12,e12·s5,1.176,21.2
13–300,otros 288 slots,78.84,100.0
