bloque,posicion_en_la_lamina,familia,id,x,y,brillo,saturacion,fraccion_fondo
sin_marca,81,3,8,9272.7,72315.9,135.1,0.365,0.012
sin_marca,82,3,43,13888.3,8238.4,143.5,0.34,0.004
sin_marca,83,3,13,9925.9,19621.2,139.9,0.316,0.001
sin_marca,84,3,143,15739.6,76425.0,139.6,0.355,0.037
sin_marca,85,3,144,15727.8,76426.7,139.5,0.355,0.036
sin_marca,86,3,90,15952.6,26097.3,141.7,0.338,0.035
sin_marca,87,3,85,15150.1,24494.1,143.5,0.348,0.013
sin_marca,88,3,37,13429.2,6863.0,140.6,0.343,0.002
sin_marca,89,3,29,14272.1,5013.3,142.0,0.328,0.023
sin_marca,90,3,86,15406.1,24655.4,139.9,0.363,0.011
sin_marca,91,3,30,13064.2,5043.3,137.5,0.358,0.013
sin_marca,92,3,94,12424.5,55332.4,142.0,0.327,0.008
sin_marca,93,3,131,10559.7,70986.3,138.6,0.372,0.008
sin_marca,94,3,78,16250.2,8513.1,141.0,0.338,0.011
sin_marca,95,3,140,14941.8,58832.4,141.4,0.353,0.012
sin_marca,96,3,121,13629.3,59441.6,136.6,0.365,0.018
sin_marca,97,3,80,14897.6,9039.2,143.9,0.333,0.014
sin_marca,98,3,50,11185.5,20831.4,142.0,0.316,0.003
sin_marca,99,3,79,14873.6,9035.8,142.8,0.335,0.012
sin_marca,100,3,116,13928.2,58012.8,142.3,0.356,0.017
sin_marca,101,3,160,26652.1,20080.2,133.0,0.364,0.022
sin_marca,102,3,51,11017.3,21570.4,131.6,0.344,0.005
sin_marca,103,3,102,13840.1,55852.0,134.5,0.407,0.021
sin_marca,104,3,105,14044.7,56901.1,132.9,0.393,0.019
sin_marca,105,3,151,23733.2,6290.7,127.2,0.387,0.007
sin_marca,106,3,111,14287.4,57158.1,133.0,0.384,0.022
sin_marca,107,3,112,14274.9,57178.2,134.1,0.378,0.022
sin_marca,108,3,91,14834.4,26300.8,132.7,0.371,0.004
sin_marca,109,3,135,14610.2,76646.1,129.6,0.389,0.002
sin_marca,110,3,129,10009.4,70776.9,128.7,0.379,0.007
sin_marca,111,3,117,14191.7,58483.6,133.9,0.382,0.024
sin_marca,112,3,107,13440.3,57038.8,133.3,0.39,0.006
sin_marca,113,3,96,12881.0,55352.0,142.5,0.343,0.023
sin_marca,114,3,123,13704.4,59842.5,138.8,0.348,0.051
sin_marca,115,3,35,13978.0,5741.5,135.7,0.341,0.002
sin_marca,116,3,49,11218.0,20422.9,129.3,0.349,0.009
sin_marca,117,3,93,13418.7,55326.9,132.1,0.376,0.011
sin_marca,118,3,66,15263.5,6400.2,135.9,0.36,0.005
sin_marca,119,3,67,15266.5,6563.1,138.8,0.358,0.005
sin_marca,120,3,101,11549.0,55782.1,139.9,0.352,0.005
sin_marca,121,3,14,10719.6,19663.1,136.2,0.335,0.014
sin_marca,122,3,47,11062.3,20117.2,134.7,0.338,0.023
sin_marca,123,3,142,15543.1,75903.0,134.0,0.376,0.016
sin_marca,124,3,5,9506.2,19947.2,134.8,0.318,0.005
sin_marca,125,3,58,12846.6,60950.8,132.1,0.395,0.018
sin_marca,126,3,4,9579.4,19682.3,139.1,0.313,0.023
sin_marca,127,3,126,13958.0,60065.9,139.8,0.373,0.028
sin_marca,128,3,161,26746.8,20732.5,140.3,0.367,0.012
sin_marca,129,3,73,15581.7,8034.1,135.0,0.352,0.019
sin_marca,130,3,76,15794.2,8269.1,136.6,0.353,0.023
sin_marca,131,3,118,14477.8,58623.7,131.7,0.381,0.025
sin_marca,132,3,77,15727.4,8395.7,140.6,0.35,0.019
sin_marca,133,3,52,10835.5,21690.8,142.4,0.331,0.016
sin_marca,134,3,95,12858.0,55348.4,141.4,0.347,0.021
sin_marca,135,3,98,12732.6,55540.4,151.0,0.332,0.044
sin_marca,136,3,31,14262.5,5090.8,148.2,0.318,0.042
sin_marca,137,3,104,11957.7,56171.7,145.4,0.337,0.009
sin_marca,138,3,83,15175.6,24440.3,146.0,0.341,0.022
sin_marca,139,3,12,10101.8,19424.3,150.5,0.288,0.017
sin_marca,140,3,33,13299.4,5581.1,142.7,0.331,0.014
sin_marca,141,3,19,9563.7,69928.1,135.5,0.351,0.023
sin_marca,142,3,18,9548.6,69916.0,134.4,0.356,0.019
sin_marca,143,3,17,5858.4,69239.8,152.6,0.308,0.074
sin_marca,144,3,38,13591.6,7259.1,149.6,0.322,0.035
sin_marca,145,3,115,12219.9,57734.7,143.6,0.345,0.041
sin_marca,146,3,167,25460.1,22170.2,139.8,0.348,0.107
sin_marca,147,3,139,14707.2,58662.2,139.2,0.357,0.058
sin_marca,148,3,11,10240.4,19330.2,138.0,0.327,0.028
sin_marca,149,3,165,26594.9,22156.4,142.1,0.346,0.085
