slide,marca,grado,grado_ord,alineada,x,y,inst,via,dist_px,clase_hovernext,n_pobl_epi,area_um2,pct_area_um2,eje_mayor_um,pct_eje_mayor_um,eje_menor_um,pct_eje_menor_um,diam_eq_um,pct_diam_eq_um,excentricidad,pct_excentricidad,razon_aspecto,pct_razon_aspecto,inst_px,clase_px,area_um2_px,pct_area_um2_px
129741,0,alto,3,True,9322.2,71983.4,25491,centroide,0.64,epithelial-cell,87553,103.57177500000002,96.07323564012655,11.768169403076172,76.19042180165157,11.228105545043945,99.14109168160999,11.483539581298828,96.07323564012655,0.29946261644363403,1.057669244211945,1.0480992794036865,1.0576934059783665,25491,epithelial-cell,103.57177500000002,96.07323564012655
129741,1,alto,3,True,9206.2,71905.4,25154,centroide,1.5,epithelial-cell,87553,122.81580000000001,98.57914634564207,15.34725284576416,95.7511450207303,10.220096588134766,97.44383402053613,12.504956245422363,98.57914634564207,0.7460199594497681,48.17420703361469,1.5016738176345825,48.17530754206216,25154,epithelial-cell,122.81580000000001,98.57914634564207
129741,2,alto,3,True,9228.5,71301.8,22097,centroide,4.86,epithelial-cell,87553,127.35652500000002,98.85326602172398,14.525948524475098,93.4622457254463,11.175479888916016,99.08512558107661,12.734024047851562,98.85326602172398,0.6388323307037354,25.551963998126805,1.2998052835464478,25.552547716136107,22097,epithelial-cell,127.35652500000002,98.85326602172398
129741,3,alto,3,True,9692.5,71366.8,22375,centroide,2.99,epithelial-cell,87553,126.49162500000001,98.79501559055657,13.084128379821777,86.83197606021496,12.352392196655273,99.79098374698754,12.69071102142334,98.79501559055657,0.3297322988510132,1.5648022295576294,1.0592384338378906,1.5648379764474751,22375,epithelial-cell,126.49162500000001,98.79501559055657
129741,4,alto,3,True,10297.7,71851.9,155858,centroide,1.54,epithelial-cell,87553,109.19362500000001,97.03722316768129,14.150949478149414,92.15675076810618,9.845070838928223,96.23542311514169,11.791083335876465,97.03722316768129,0.7183150053024292,41.51408893102306,1.4373639822006226,41.51503729340141,155858,epithelial-cell,109.19362500000001,97.03722316768129
129741,5,alto,3,True,9011.2,71101.4,21376,centroide,1.66,epithelial-cell,87553,147.24922500000002,99.59795780841318,14.763527870178223,94.24006030632874,12.718670845031738,99.87436181512912,13.692461967468262,99.59795780841318,0.5077700018882751,9.540724834667794,1.1607760190963745,9.540942786325372,21376,epithelial-cell,147.24922500000002,99.59795780841318
129741,6,alto,3,True,8990.5,71338.8,22235,centroide,3.54,epithelial-cell,87553,156.54690000000002,99.74986579557525,17.07025909423828,98.17253549278723,11.700932502746582,99.53856521192877,14.118133544921875,99.74986579557525,0.7281129360198975,43.75049970874119,1.4588803052902222,43.75149916047014,22235,epithelial-cell,156.54690000000002,99.74986579557525
129741,7,alto,3,True,9862.5,71165.8,153772,centroide,3.71,epithelial-cell,87553,112.22077500000002,97.47467248409535,13.870316505432129,90.99745297134307,10.314846992492676,97.66084543076765,11.953407287597656,97.47467248409535,0.6685541868209839,30.92940114904456,1.3446943759918213,30.93010771111035,153772,epithelial-cell,112.22077500000002,97.47467248409535
129741,8,alto,3,True,8535.2,71374.4,22402,centroide,2.11,epithelial-cell,87553,172.1151,99.89492079083527,18.378128051757812,99.07598825854055,11.979267120361328,99.6721985540187,14.80350399017334,99.89492079083527,0.7583721280097961,51.3494991490674,1.5341614484786987,51.35067219499937,22402,epithelial-cell,172.1151,99.89492079083527
129741,9,alto,3,True,9956.7,71947.9,156178,centroide,1.02,epithelial-cell,87553,87.35490000000001,91.08996836202071,12.223043441772461,80.41186481331307,9.151141166687012,92.75752972485238,10.546265602111816,91.08996836202071,0.662932276725769,29.84431931103014,1.3356852531433105,29.845001085106627,156178,epithelial-cell,87.35490000000001,91.08996836202071
