slide,clase,grupo,f_epi,n_epi,n_conn,area_um2,celdas,alineada
110616,CDIS_papilar,epitelio,0.34615384615384615,90,170,68389.37280000001,4942,True
110616,Tumor,epitelio,0.9873417721518988,156,2,9673.0416,699,True
110616,Tumor,epitelio,0.0,0,51,15305.270400000001,1106,True
110616,CDIS_papilar,epitelio,1.0,48,0,14101.329600000001,1019,True
110616,AreaTubular,epitelio,1.0,7,0,6725.462400000001,486,True
110616,CDIS_papilar,epitelio,0.13785557986870897,63,394,172218.88800000004,12445,True
110616,CDIS_papilar,epitelio,0.10285714285714286,36,314,162490.4928,11742,True
110616,AreaTubular,epitelio,0.9565217391304348,22,1,7860.211200000001,568,True
124729,Tumor,epitelio,0.9369369369369369,208,14,33295.19040000001,2406,True
124729,CDIS_solido,epitelio,0.7025316455696202,444,188,112907.50560000002,8159,True
124729,CDIS_solido,epitelio,0.9319672131147541,1137,83,154062.90720000002,11133,True
124729,AreaSolida,epitelio,0.2542372881355932,15,44,10752.436800000001,777,True
124729,AreaSolida,epitelio,0.855072463768116,59,10,6531.724800000001,472,True
124729,CDIS_solido,epitelio,0.7495527728085868,419,140,90503.13600000001,6540,True
124729,AreaSolida,epitelio,0.548936170212766,129,106,47839.34880000001,3457,True
124729,AreaTubular,epitelio,0.9746835443037974,77,2,14281.228800000003,1032,True
124729,CDIS_solido,epitelio,0.7939914163090128,185,48,40214.390400000004,2906,True
124729,Tumor,epitelio,0.9051094890510949,124,13,19954.972800000003,1442,True
124729,AreaSolida,epitelio,0.9310344827586207,54,4,8413.747200000002,608,True
124729,AreaTubular,epitelio,0.8297872340425532,39,8,5853.6432,423,True
124729,AreaSolida,epitelio,0.9464285714285714,53,3,9119.5056,659,True
124729,AreaTubular,epitelio,0.9333333333333333,14,1,3072.1248000000005,222,True
124729,AreaSolida,epitelio,0.875,7,1,1107.0720000000001,80,True
124729,Tumor,epitelio,0.4980891719745223,391,394,115467.60960000001,8344,True
124729,CDIS_solido,epitelio,0.8952380952380953,188,22,32409.532800000004,2342,True
124729,AreaSolida,epitelio,0.9464285714285714,53,3,11139.912000000002,805,True
124729,Tumor,epitelio,0.8593272171253823,281,46,46247.93280000001,3342,True
124806,CDIS_solido,epitelio,1.0,111,0,12260.822400000001,886,True
124806,Tumor,epitelio,0.8892128279883382,305,38,61345.62720000001,4433,True
124806,Tumor,epitelio,0.7910731244064577,833,220,159805.84320000003,11548,True
124806,Tumor,epitelio,0.9251700680272109,136,11,24784.574400000005,1791,True
124806,Tumor,epitelio,0.8936170212765957,210,25,28562.457600000005,2064,True
124806,CDIS_solido,epitelio,0.9751491053677932,981,25,122635.90080000002,8862,True
124806,Tumor,epitelio,0.9587628865979382,93,4,15305.270400000001,1106,True
124806,Tumor,epitelio,0.5572916666666666,214,170,56571.37920000001,4088,True
124806,Tumor,epitelio,0.7133757961783439,336,135,69122.808,4995,True
