expert,mean_score
0,2.259319e-04
1,2.236368e-04
2,1.988507e-04
3,2.198344e-04
4,2.080662e-04
5,2.166584e-04
6,2.102419e-04
7,1.898173e-04
8,2.104762e-04
9,2.162017e-04
10,2.136763e-04
11,2.070252e-04
12,2.075396e-04
13,2.066613e-04
14,2.132847e-04
15,2.109700e-04
16,2.081710e-04
17,2.023544e-04
18,2.070235e-04
19,2.164965e-04
20,2.132685e-04
21,1.955404e-04
22,2.038633e-04
23,2.238102e-04
24,1.937576e-04
25,1.941060e-04
26,2.139091e-04
27,2.044202e-04
28,1.955618e-04
29,1.988449e-04
