ckpt,grupo,idx,x,y,atencion,percentil
seba_privado_s0,Tumor,2057,12413,59456,0.00058496039127931,94.1017090454356
seba_privado_s0,Tumor,2058,12413,59712,0.00043823622399941087,85.95248020008337
seba_privado_s0,Tumor,2059,12413,59968,0.00018489998183213174,59.56648603584827
seba_privado_s0,Tumor,2089,12669,59456,0.000520833651535213,91.28803668195081
seba_privado_s0,Tumor,2090,12669,59712,0.00039415431092493236,82.3051271363068
seba_privado_s0,Tumor,2091,12669,59968,0.00041918997885659337,84.34764485202167
seba_privado_s0,Tumor,2092,12669,60224,0.00041668114135973155,84.07669862442684
seba_privado_s0,Tumor,2093,12669,60480,0.0004296286788303405,85.22300958732805
seba_privado_s0,Tumor,2094,12669,60736,0.00022265197185333818,63.69320550229262
seba_privado_s0,Tumor,2095,12669,60992,0.0001980579545488581,60.90037515631513
seba_privado_s0,Tumor,2121,12925,59456,0.00031551337451674044,74.4476865360567
seba_privado_s0,Tumor,2122,12925,59712,0.0008408999419771135,99.06210921217173
seba_privado_s0,Tumor,2123,12925,59968,0.0005902572884224355,94.31012922050854
seba_privado_s0,Tumor,2124,12925,60224,0.0005475393845699728,92.60108378491037
seba_privado_s0,Tumor,2125,12925,60480,0.0005135611281730235,90.9337223843268
seba_privado_s0,Tumor,2126,12925,60736,0.0005268478416837752,91.51729887453105
seba_privado_s0,Tumor,2127,12925,60992,0.0005262083723209798,91.47561483951647
seba_privado_s0,Tumor,2152,13181,59456,0.0004825537034776062,89.16215089620675
seba_privado_s0,Tumor,2153,13181,59712,0.0003612036525737494,79.19966652771988
seba_privado_s0,Tumor,2154,13181,59968,0.0005711247795261443,93.49729053772406
seba_privado_s0,Tumor,2155,13181,60224,0.00038060592487454414,81.15881617340558
seba_privado_s0,Tumor,2156,13181,60480,0.00028031531837768853,70.30012505210505
seba_privado_s0,Tumor,2157,13181,60736,0.00027074513491243124,69.19549812421842
seba_privado_s0,Tumor,2158,13181,60992,0.0006097467266954482,95.01875781575656
seba_privado_s0,Tumor,2185,13437,59968,0.0002903931599576026,71.38390996248437
seba_privado_s0,Tumor,2186,13437,60224,0.00041909056017175317,84.32680283451438
seba_privado_s0,Tumor,2187,13437,60480,0.00031939285690896213,74.92705293872447
seba_privado_s0,Tumor,2188,13437,60736,0.0002947980538010597,72.00917048770322
seba_privado_s0,Tumor,2189,13437,60992,0.00043901309254579246,86.07753230512714
seba_privado_s0,Tumor,2215,13693,59968,0.0005848410073667765,94.0808670279283
seba_privado_s0,Tumor,2216,13693,60224,0.0004735403344966471,88.68278449353897
seba_privado_s0,Tumor,2217,13693,60480,0.00039306218968704343,82.22175906627761
seba_privado_s0,Tumor,2218,13693,60736,0.0007225765148177743,97.79074614422676
seba_privado_s0,Tumor,2219,13693,60992,0.0002695485600270331,68.94539391413089
seba_privado_s0,Tumor,2236,13949,57920,0.0005830266745761037,93.95581492288454
seba_privado_s0,Tumor,2237,13949,58176,0.0001614073698874563,56.044185077115465
seba_privado_s0,Tumor,2238,13949,58432,0.0002902541309595108,71.36306794497708
seba_privado_s0,Tumor,2239,13949,58688,0.0002950137131847441,72.0508545227178
seba_privado_s0,Tumor,2243,13949,59712,0.00020827412663493305,62.17173822426011
seba_privado_s0,Tumor,2244,13949,59968,0.0003604371740948409,79.15798249270529
seba_privado_s0,Tumor,2263,14205,57920,0.0004306165501475334,85.36890370987912
seba_privado_s0,Tumor,2264,14205,58176,0.00032263388857245445,75.32305127136307
seba_privado_s0,Tumor,2265,14205,58432,0.0009235345060005784,99.43726552730304
seba_privado_s0,Tumor,2266,14205,58688,0.0007289181812666357,97.97832430179241
seba_privado_s0,Tumor,2289,14461,57920,0.00029210225329734385,71.57148812005002
seba_privado_s0,Tumor,2290,14461,58176,0.00015455737593583763,54.94997915798249
