ckpt,rol,split_129741,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.6915522839049792,72.94706127553147,69.1073203578414,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Mitosis,28,True,0.7664161451627391,79.0954564401834,76.49169296730781,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Immune cells,23,False,0.35191355327361445,33.70154230929554,35.259256574297254,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Tumor,48,False,0.6844217006945906,68.77865777407253,68.26151521467278,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,necrosis,18,False,0.8845662227799856,95.84201750729471,88.32036496688437,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Stroma,12,False,0.3616217533597939,30.85660691954981,36.19390023620953,,,,
seba_combined_s0,primario,val,4,score_2,False,False,score_3,Tejido Adiposo,27,False,0.09469591133463724,9.253855773238849,9.689222361169005,,,,
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Nucleos alto grado,13,True,0.7660644829470571,82.72196748645268,76.53990444736588,0.0004997501249375312,0.10344827586206896,2000.0,0.4899818219399273
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Mitosis,28,True,0.8779830523699733,90.86077532305127,87.58560114333353,0.0004997501249375312,0.0022222222222222222,449.0,0.6697586645612092
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Immune cells,23,False,0.30694232029713786,27.136306794497706,30.78275368360005,,,,
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Tumor,48,False,0.7821423559952291,79.87703209670696,77.93785605113241,0.0004997501249375312,0.04195804195804196,571.0,0.6450473980464837
seba_combined_s0,primario,val,4,score_3,True,True,score_3,necrosis,18,False,0.8998814752841107,97.03001250521051,89.84646380436294,,,,
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Stroma,12,False,0.40371492235916717,35.22300958732805,40.393566763929414,,,,
seba_combined_s0,primario,val,4,score_3,True,True,score_3,Tejido Adiposo,27,False,0.1292493247648319,12.588578574406002,13.125839470149602,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.8385033270114758,84.55606502709462,83.76567159393336,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Mitosis,28,True,0.8803934485133396,90.38140892038349,87.82528434466742,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Immune cells,23,False,0.3905851722380016,37.95331388078366,39.108686590427176,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Tumor,48,False,0.8357714165438855,84.73322217590663,83.24822842851188,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,necrosis,18,False,0.6726045225313161,68.5077115464777,67.19929600296419,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Stroma,12,False,0.607113014414038,64.8082534389329,60.68674447686536,,,,
seba_5fold_f0,primario,val,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.2796172115115954,27.90746144226761,28.081144921495067,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.8765630524928477,90.89203834931222,87.56212524449292,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Mitosis,28,True,0.866267928257029,86.7965819091288,86.42068123622938,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Immune cells,23,False,0.42710836792658946,35.72321800750313,42.744259383438745,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Tumor,48,False,0.795301866273767,80.05418924551897,79.2409163540364,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,necrosis,18,False,0.6378605126774965,63.70362651104627,63.73720531703025,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Stroma,12,False,0.7064967620639231,69.26844518549396,70.60233430596081,,,,
seba_5fold_f0,primario,val,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.19191425289497377,19.362234264276783,19.35837463140506,,,,
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8639782699540326,88.12005002084202,86.30679449770739,0.0004997501249375312,0.04697651174412794,2000.0,0.5764239408598758
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Mitosis,28,True,0.910426086175405,93.50771154647771,90.81164771035552,0.0004997501249375312,0.002288329519450801,436.0,0.7292172555421941
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Immune cells,23,False,0.4576414682106183,48.97874114214256,45.78356924080686,,,,
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Tumor,48,False,0.8197265487967446,84.0662776156732,81.65945880227872,0.0004997501249375312,0.03220338983050847,589.0,0.6952066817859279
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,necrosis,18,False,0.6780891956587418,70.33138807836599,67.74582001759991,,,,
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Stroma,12,False,0.6041013856973748,66.72571904960401,60.38627205780187,,,,
seba_5fold_f0,primario,val,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.2417264288597063,25.03126302626094,24.312599385546445,,,,
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8127069336847857,84.55606502709462,81.19248404784042,0.0004997501249375312,0.13943028485757122,2000.0,0.5923646436706823
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Mitosis,28,True,0.9256969188849298,95.89412255106294,92.33013755731555,0.0004997501249375312,0.0021321961620469083,468.0,0.7492135477683912
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Immune cells,23,False,0.35673840215570607,29.658190912880368,35.739529151639275,,,,
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Tumor,48,False,0.8766838560303094,88.79741558982909,87.29939558149228,0.0004997501249375312,0.02456140350877193,569.0,0.7322203953637205
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,necrosis,18,False,0.7355853029352297,81.63818257607338,73.47505905238295,,,,
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Stroma,12,False,0.6340435902792285,65.70446019174656,63.373627900514094,,,,
seba_5fold_f0,primario,val,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.2835444413399149,28.449353897457275,28.47173976811326,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.9008647015333183,92.01750729470612,89.98621220380285,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Mitosis,28,True,0.8910605743030812,91.05877448937056,88.8859941642351,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Immune cells,23,False,0.3504569951205302,29.512296790329305,35.114268626420426,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Tumor,48,False,0.8063960218901284,81.5131304710296,80.33946436015006,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,necrosis,18,False,0.6159915405889052,61.19216340141726,61.55805659765643,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Stroma,12,False,0.5187835108975698,52.740725302209256,51.87404474086426,,,,
seba_5fold_f2,primario,val,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.0380692930986309,3.4597749062109213,4.05724607475337,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.9069561863126426,94.39349729053772,90.59383717574632,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Mitosis,28,True,0.9134278528011498,92.1217173822426,91.11013517537069,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Immune cells,23,False,0.3970759595076833,35.410587744893704,39.7547891331533,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Tumor,48,False,0.8119606398652915,82.51354731137974,80.89047519799917,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,necrosis,18,False,0.5848148922819494,54.3351396415173,58.451438099208,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Stroma,12,False,0.5567509226376993,58.72238432680284,55.662081422815056,,,,
seba_5fold_f2,primario,val,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.05666542485486325,5.356398499374739,5.906782146882188,,,,
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.884502876980938,94.03918299291371,88.3541219097701,0.0004997501249375312,0.02448775612193903,2000.0,0.5185816647241425
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Mitosis,28,True,0.904886666467048,93.19508128386829,90.26082296194842,0.0004997501249375312,0.002197802197802198,454.0,0.6977605984124553
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Immune cells,23,False,0.33843128686912827,24.551896623593162,33.91721188176232,,,,
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Tumor,48,False,0.8118159334876868,82.26344310129221,80.87614631096291,0.0004997501249375312,0.14332784184514002,606.0,0.681820005068975
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,necrosis,18,False,0.7966022914778406,82.86786160900374,79.55513871520542,,,,
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Stroma,12,False,0.4806420165726621,45.0500208420175,48.0686397109907,,,,
seba_5fold_f2,primario,val,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.012682003042438918,1.271363067944977,1.532274250073333,,,,
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8978912854800861,92.12171738224261,89.6896142623529,0.0004997501249375312,0.03498250874562719,2000.0,0.5778129055681032
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Mitosis,28,True,0.9165269335569063,91.24635264693623,91.41829929137141,0.0004997501249375312,0.002304147465437788,433.0,0.7393931294428138
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Immune cells,23,False,0.2980573155633239,22.551062942892873,29.89832720155137,,,,
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Tumor,48,False,0.8267864660071564,83.28470195914966,82.35853480616923,0.0004997501249375312,0.02564102564102564,623.0,0.6864695005243571
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,necrosis,18,False,0.6669804085616677,67.05919132972072,66.63887730999028,,,,
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Stroma,12,False,0.5014797019706149,49.52063359733222,50.14763095734333,,,,
seba_5fold_f2,primario,val,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.027482847474465246,1.9591496456857023,3.004338227347814,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.8778327815101739,86.86952897040433,87.68878058165261,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Mitosis,28,True,0.9343878192652034,94.46644435181327,93.19433692610016,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Immune cells,23,False,0.4498488820916175,39.91246352646936,45.0078837196658,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Tumor,48,False,0.8353066021188522,83.87869945810755,83.2022023065166,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,necrosis,18,False,0.7409189151502475,79.05377240516881,74.00653049881896,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Stroma,12,False,0.7047211196991853,68.49729053772406,70.42517715714881,,,,
seba_5fold_f1,control_interno,train,4,no_identificado,False,False,score_3,Tejido Adiposo,27,False,0.059995032752786316,4.168403501458942,6.237938647275871,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Nucleos alto grado,13,True,0.8603940981709474,91.64235097957483,85.94927373585149,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Mitosis,28,True,0.9122825403479354,94.2997082117549,90.99624843684867,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Immune cells,23,False,0.5965333915956594,56.544393497290535,59.609076245537096,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Tumor,48,False,0.7591208868308427,74.10379324718633,75.65826038627206,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,necrosis,18,False,0.7548048990215901,84.71238015839933,75.39020888333101,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Stroma,12,False,0.8598635192535339,88.58899541475614,85.90384882589967,,,,
seba_5fold_f1,control_interno,train,4,score_1,False,False,score_3,Tejido Adiposo,27,False,0.251583310049362,25.9899958315965,25.292946134963646,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.8843903693464914,94.4977073780742,88.34289928495849,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Mitosis,28,True,0.940009581698955,95.33138807836599,93.75334960995653,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Immune cells,23,False,0.5601376447454665,61.00458524385161,55.98618989796475,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Tumor,48,False,0.8271372693468042,83.23259691538141,82.39327150201473,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,necrosis,18,False,0.8027493086058239,82.44060025010421,80.16766245194756,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Stroma,12,False,0.7590522944084673,83.0345977490621,75.8458385438377,,,,
seba_5fold_f1,control_interno,train,4,score_2,False,False,score_3,Tejido Adiposo,27,False,0.08076433516500574,9.48311796581909,8.303614160221079,,,,
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Nucleos alto grado,13,True,0.8782667395287538,90.01667361400584,87.73206784878315,0.0004997501249375312,0.04247876061969016,2000.0,0.6485579788321597
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Mitosis,28,True,0.9506243075725365,96.11296373488953,94.80884892514737,0.0004997501249375312,0.002336448598130841,427.0,0.794804805826702
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Immune cells,23,False,0.4420562959726167,41.704877032096704,44.23219819852475,,,,
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Tumor,48,False,0.8456509155967165,84.22259274697791,84.22650062526053,0.0004997501249375312,0.32084690553745926,613.0,0.7753667614617281
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,necrosis,18,False,0.7659950266099608,81.2526052521884,76.50525681997128,,,,
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Stroma,12,False,0.8077954181463687,84.17048770320966,80.70897596220648,,,,
seba_5fold_f1,control_interno,train,4,score_3,True,True,score_3,Tejido Adiposo,27,False,0.19683493216603024,18.570237598999583,19.84777607953931,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.7971005175351185,81.8466027511463,79.63574566325714,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Mitosis,28,True,0.7571189028954697,73.95789912463526,75.56720061930567,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Immune cells,23,False,0.7188478625009104,74.8020008336807,71.78443916849413,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Tumor,48,False,0.7980162071142918,77.93872446852856,79.5096915381409,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,necrosis,18,False,0.5936112854121639,59.60817007086286,59.3279607243759,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Stroma,12,False,0.7908223661304923,81.58607753230513,79.01556203973878,,,,
seba_5fold_f3,control_interno,train,4,no_identificado,False,False,score_3,Tejido Adiposo,27,False,0.18590698829592375,18.007503126302627,18.76090346286261,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Nucleos alto grado,13,True,0.7781027998328458,76.96957065443935,77.74072530220926,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Mitosis,28,True,0.9278677725544211,94.6957065443935,92.54600131006966,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Immune cells,23,False,0.5811758065690773,61.48395164651938,58.08035957011074,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Tumor,48,False,0.8819239809162983,89.90204251771571,87.81827497568433,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,necrosis,18,False,0.749250505473053,81.6902876198416,74.83673752952619,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Stroma,12,False,0.7526634635471068,80.13755731554815,75.20842017507294,,,,
seba_5fold_f3,control_interno,train,4,score_1,False,False,score_3,Tejido Adiposo,27,False,0.17664772903666448,17.257190496040018,17.839995059669928,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.745813108746665,78.92872030012505,74.51983198127424,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Mitosis,28,True,0.9157184777075785,92.90329303876615,91.33790865241471,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Immune cells,23,False,0.6848008156725657,67.54897874114214,68.39534588687313,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Tumor,48,False,0.8095357117799762,85.08753647353063,80.65035778796721,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,necrosis,18,False,0.8091984475586232,84.42059191329722,80.81029132508915,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Stroma,12,False,0.8511767982731008,88.82867861609003,85.03716826455468,,,,
seba_5fold_f3,control_interno,train,4,score_2,False,False,score_3,Tejido Adiposo,27,False,0.03310980720871752,2.396832013338891,3.5639849937473946,,,,
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Nucleos alto grado,13,True,0.7616606126844322,78.47019591496456,76.10061884759675,0.0009995002498750624,0.14142928535732133,2000.0,0.5280465157105132
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Mitosis,28,True,0.9438347755786448,95.38349312213421,94.13371642946466,0.0004997501249375312,0.002136752136752137,467.0,0.7403640186623829
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Immune cells,23,False,0.21016313451314544,11.192163401417258,21.149210721858747,,,,
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Tumor,48,False,0.8851206763488388,90.78782826177574,88.13481311657635,0.0004997501249375312,0.13145539906103287,638.0,0.7415787492478088
