topj,auc,balanced_acc_bestthr,balanced_acc_argmax
1,0.6623,0.6349,0.5796
5,0.6772,0.6488,0.5638
10,0.6738,0.6347,0.5574
50,0.6625,0.6402,0.5318
100,0.6567,0.6284,0.5238
