rank,slot,peso_pct,masa_acum_pct
1,e12·s2,3.788,3.8
2,e5·s5,2.505,6.3
3,e24·s9,2.427,8.7
4,e11·s3,2.202,10.9
5,e28·s7,1.869,12.8
6,e25·s9,1.847,14.6
7,e11·s4,1.838,16.5
8,e23·s2,1.807,18.3
9,e21·s4,1.72,20.0
10,e10·s2,1.662,21.7
11,e0·s1,1.546,23.2
12,e13·s5,1.545,24.8
13–300,otros 288 slots,75.24,100.0
