rank,slot,peso_pct,masa_acum_pct
1,e28·s4,2.86,2.9
2,e6·s9,2.806,5.7
3,e13·s6,2.4,8.1
4,e28·s5,2.13,10.2
5,e19·s9,2.072,12.3
6,e1·s7,1.952,14.2
7,e26·s2,1.741,16.0
8,e13·s5,1.712,17.7
9,e10·s5,1.675,19.3
10,e19·s5,1.417,20.8
11,e22·s3,1.234,22.0
12,e29·s7,1.217,23.2
13–300,otros 288 slots,76.78,100.0
