rank,slot,peso_pct,masa_acum_pct
1,e6·s7,4.935,4.9
2,e15·s5,2.868,7.8
3,e19·s9,2.761,10.6
4,e15·s7,2.662,13.2
5,e26·s2,2.054,15.3
6,e8·s6,1.706,17.0
7,e17·s0,1.661,18.6
8,e23·s7,1.624,20.3
9,e8·s9,1.608,21.9
10,e28·s2,1.552,23.4
11,e10·s9,1.533,25.0
12,e21·s1,1.431,26.4
13–300,otros 288 slots,73.61,100.0
