ckpt,rol,split_129741,universo,n_universo,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tumor,48,False,0.8780467047930284,92.74549098196393,87.09251837007348,0.0004997501249375312,0.0633116883116883,1847.0,0.7295570073101559
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,necrosis,18,False,0.903237377813649,92.48496993987976,90.04898686261411,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Stroma,12,False,0.591183574879227,48.97795591182364,59.07815631262525,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.1211166614163779,14.228456913827655,12.506494470422329,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8355138384390369,88.70362651104627,83.46747042036746,0.0004997501249375312,0.044977511244377814,2000.0,0.5975334724304332
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Mitosis,28,True,0.8403149983531455,86.72363484785328,83.83999285416544,0.0004997501249375312,0.0022371364653243847,446.0,0.7187878443882466
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Immune cells,23,False,0.3271156507173549,31.700708628595248,32.79083676169419,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Tumor,48,False,0.8203338770785098,84.33722384326802,81.71959670696124,0.0004997501249375312,0.0017241379310344827,579.0,0.692437592393235
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,necrosis,18,False,0.6914755165121197,66.86119216340141,69.07970913806678,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Stroma,12,False,0.6072696887403384,56.419341392246764,60.70237598999582,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.1773928161187172,15.047936640266778,17.914100010806973,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8498714334396976,90.3006012024048,84.81886850624325,0.0004997501249375312,0.015492253873063468,2000.0,0.6164681708522491
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Mitosis,28,True,0.8549722157906923,88.37675350701403,85.11308330947611,0.0004997501249375312,0.0007698229407236335,1298.0,0.7287479699491979
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Immune cells,23,False,0.34103975105047557,33.3066132264529,34.24414045482269,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Tumor,48,False,0.837265114379085,86.11222444889779,83.09118236472945,0.0004997501249375312,0.000552791597567717,1808.0,0.7049173302189655
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,necrosis,18,False,0.7081651869787463,68.37675350701403,70.6746826987308,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Stroma,12,False,0.6227858293075684,58.256513026052104,62.22444889779559,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.191575536654516,16.793587174348698,19.47895791583166,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.8188144909833167,82.57607336390163,81.80171225189984,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Mitosis,28,True,0.7559885618468725,73.85368903709879,75.45480259631988,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Immune cells,23,False,0.3411077124754206,27.448937057107127,34.183627235986016,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Tumor,48,False,0.7716993790780888,76.53709879116299,76.90378803668195,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,necrosis,18,False,0.6210927514002185,62.578157565652354,62.06637024686212,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Stroma,12,False,0.49651834830443564,52.699041267194666,49.652633041545094,,,,
seba_combined_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_3,Tejido Adiposo,27,False,0.4994101393933749,51.792413505627344,49.941333580349834,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.8287741255924904,83.44689378757515,82.71928472329273,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Mitosis,28,True,0.7698975457281778,75.31062124248497,76.6976810764386,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Immune cells,23,False,0.3613635964064066,30.220440881763526,36.25860416485144,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Tumor,48,False,0.7860115400326797,77.84569138276552,78.062374749499,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,necrosis,18,False,0.6412877768809973,64.52905811623248,64.0325094633712,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Stroma,12,False,0.5132179280730005,55.21042084168337,51.31596526386105,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_3,Tejido Adiposo,27,False,0.5252838906139837,54.388777555110224,52.50204111927559,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Nucleos alto grado,13,True,0.7368446430293484,79.1162984576907,73.62522846057652,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Mitosis,28,True,0.8508024672874809,88.73488953730721,84.88283808729828,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Immune cells,23,False,0.32607785303328235,32.74280950395998,32.68753284883194,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Tumor,48,False,0.7420586893987231,76.72988745310545,73.96875434208698,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,necrosis,18,False,0.894757024332427,96.68611921634013,89.3358343754342,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Stroma,12,False,0.369333611865469,31.21092121717382,36.96331804918716,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_1,False,False,score_3,Tejido Adiposo,27,False,0.15178044767315513,16.131721550646102,15.366742315470951,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Nucleos alto grado,13,True,0.7525326063384863,81.00200400801603,75.1318020656698,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Mitosis,28,True,0.8659122482056032,90.24048096192385,86.19524763813342,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Immune cells,23,False,0.32955923978972906,33.3066132264529,33.1062124248497,,,,
