slide,brazo,presupuesto_mm2,k_parches,area_real_mm2,marcas_dentro,acreditadas_dentro,detecciones_dentro,det_por_mm2,marcas_dentro_p975,acreditadas_dentro_p975,detecciones_dentro_p975
128194,azar,30.0,2118.0,30.0131647488,7.585,1.785,20.88,0.6956947117959239,12.0,4.0,28.0
128194,clam_mitosis,10.0,706.0,10.004388249600002,16.0,4.0,39.0,3.8982893333392283,,,
128194,clam_gate,10.0,706.0,10.004388249600002,10.0,3.0,27.0,2.6988156923117734,,,
128194,clam_combinado,10.0,706.0,10.004388249600002,15.0,3.0,36.0,3.5984209230823647,,,
128194,azar,10.0,706.0,10.004388249600002,2.65,0.59,6.78,0.677702607180512,6.0,2.0,13.0
128194,clam_mitosis,3.0,212.0,3.0041505792,10.0,1.0,21.0,6.9903286957048145,,,
128194,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,2.0,0.6657455900671252,,,
128194,clam_combinado,3.0,212.0,3.0041505792,7.0,1.0,16.0,5.3259647205370015,,,
128194,azar,3.0,212.0,3.0041505792,0.905,0.2,2.125,0.7073546894463205,3.0,1.0,5.025000000000006
128194,clam_mitosis,1.0,71.0,1.0061070336,6.0,1.0,12.0,11.927160430498356,,,
128194,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,2.0,1.9878600717497261,,,
128194,clam_combinado,1.0,71.0,1.0061070336,3.0,0.0,6.0,5.963580215249178,,,
128194,azar,1.0,71.0,1.0061070336,0.335,0.09,0.625,0.6212062724217894,2.0,1.0,3.0
124729,sin_filtro,lamina_entera,,,8.0,1.0,10.0,,,,
124729,teselado,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_mitosis,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_gate,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_combinado,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,azar,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,8.0,1.0,10.0
124729,clam_mitosis,30.0,2118.0,30.0131647488,8.0,1.0,10.0,0.3331871225076264,,,
124729,clam_gate,30.0,2118.0,30.0131647488,8.0,1.0,9.0,0.2998684102568638,,,
124729,clam_combinado,30.0,2118.0,30.0131647488,8.0,1.0,9.0,0.2998684102568638,,,
124729,azar,30.0,2118.0,30.0131647488,3.865,0.45,4.83,0.16092938017118355,7.0,1.0,8.0
124729,clam_mitosis,10.0,706.0,10.004388249600002,7.0,1.0,7.0,0.6996929572660153,,,
124729,clam_gate,10.0,706.0,10.004388249600002,2.0,1.0,2.0,0.19991227350457583,,,
124729,clam_combinado,10.0,706.0,10.004388249600002,7.0,1.0,8.0,0.7996490940183033,,,
124729,azar,10.0,706.0,10.004388249600002,1.335,0.18,1.76,0.17592280068402671,4.0,1.0,4.0
124729,clam_mitosis,3.0,212.0,3.0041505792,4.0,1.0,7.0,2.330109565234938,,,
124729,clam_gate,3.0,212.0,3.0041505792,0.0,0.0,0.0,0.0,,,
124729,clam_combinado,3.0,212.0,3.0041505792,2.0,1.0,2.0,0.6657455900671252,,,
124729,azar,3.0,212.0,3.0041505792,0.31,0.065,0.56,0.18640876521879507,2.0,1.0,2.0
124729,clam_mitosis,1.0,71.0,1.0061070336,1.0,1.0,6.0,5.963580215249178,,,
124729,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
124729,clam_combinado,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
124729,azar,1.0,71.0,1.0061070336,0.13,0.01,0.2,0.1987860071749726,1.0,0.0,1.0
124806,sin_filtro,lamina_entera,,,6.0,3.0,74.0,,,,
124806,teselado,lamina_entera,2705.0,38.331260928000006,6.0,3.0,73.0,1.9044507859295432,,,
124806,clam_mitosis,lamina_entera,2705.0,38.331260928000006,6.0,3.0,73.0,1.9044507859295432,,,
124806,clam_gate,lamina_entera,2705.0,38.331260928000006,6.0,3.0,73.0,1.9044507859295432,,,
124806,clam_combinado,lamina_entera,2705.0,38.331260928000006,6.0,3.0,73.0,1.9044507859295432,,,
124806,azar,lamina_entera,2705.0,38.331260928000006,6.0,3.0,73.0,1.9044507859295432,6.0,3.0,73.0
124806,clam_mitosis,30.0,2118.0,30.0131647488,6.0,3.0,73.0,2.4322659943056726,,,
124806,clam_gate,30.0,2118.0,30.0131647488,6.0,3.0,71.0,2.3656285698041475,,,
124806,clam_combinado,30.0,2118.0,30.0131647488,6.0,3.0,72.0,2.3989472820549103,,,
124806,azar,30.0,2118.0,30.0131647488,4.555,2.265,57.185,1.9053305600598616,6.0,3.0,64.0
124806,clam_mitosis,10.0,706.0,10.004388249600002,3.0,2.0,51.0,5.097762974366683,,,
124806,clam_gate,10.0,706.0,10.004388249600002,3.0,2.0,26.0,2.5988595555594856,,,
124806,clam_combinado,10.0,706.0,10.004388249600002,3.0,2.0,48.0,4.79789456410982,,,
124806,azar,10.0,706.0,10.004388249600002,1.72,0.84,19.03,1.9021652823960389,4.0,2.0250000000000057,28.0
124806,clam_mitosis,3.0,212.0,3.0041505792,3.0,2.0,19.0,6.324583105637689,,,
124806,clam_gate,3.0,212.0,3.0041505792,0.0,0.0,5.0,1.664363975167813,,,
124806,clam_combinado,3.0,212.0,3.0041505792,3.0,2.0,10.0,3.328727950335626,,,
124806,azar,3.0,212.0,3.0041505792,0.55,0.215,5.685,1.8923818397658032,2.0,1.0,10.025000000000006
124806,clam_mitosis,1.0,71.0,1.0061070336,1.0,0.0,7.0,6.957510251124041,,,
124806,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,2.0,1.9878600717497261,,,
124806,clam_combinado,1.0,71.0,1.0061070336,1.0,1.0,3.0,2.981790107624589,,,
124806,azar,1.0,71.0,1.0061070336,0.155,0.1,1.86,1.8487098667272452,1.0,1.0,5.0
B25-158899,sin_filtro,lamina_entera,,,6.0,0.0,7.0,,,,
B25-158899,teselado,lamina_entera,4697.0,66.5589399552,6.0,0.0,7.0,0.10516994418348029,,,
B25-158899,clam_mitosis,lamina_entera,4697.0,66.5589399552,6.0,0.0,7.0,0.10516994418348029,,,
B25-158899,clam_gate,lamina_entera,4697.0,66.5589399552,6.0,0.0,7.0,0.10516994418348029,,,
B25-158899,clam_combinado,lamina_entera,4697.0,66.5589399552,6.0,0.0,7.0,0.10516994418348029,,,
B25-158899,azar,lamina_entera,4697.0,66.5589399552,6.0,0.0,7.0,0.10516994418348029,6.0,0.0,7.0
B25-158899,clam_mitosis,30.0,2118.0,30.0131647488,3.0,0.0,6.0,0.19991227350457583,,,
B25-158899,clam_gate,30.0,2118.0,30.0131647488,5.0,0.0,6.0,0.19991227350457583,,,
B25-158899,clam_combinado,30.0,2118.0,30.0131647488,3.0,0.0,7.0,0.2332309857553385,,,
B25-158899,azar,30.0,2118.0,30.0131647488,2.82,0.0,3.055,0.10178866592607987,5.0,0.0,6.0
B25-158899,clam_mitosis,10.0,706.0,10.004388249600002,1.0,0.0,3.0,0.2998684102568637,,,
B25-158899,clam_gate,10.0,706.0,10.004388249600002,1.0,0.0,2.0,0.19991227350457583,,,
B25-158899,clam_combinado,10.0,706.0,10.004388249600002,1.0,0.0,3.0,0.2998684102568637,,,
B25-158899,azar,10.0,706.0,10.004388249600002,0.77,0.0,0.955,0.09545811059843495,3.0,0.0,3.0
B25-158899,clam_mitosis,3.0,212.0,3.0041505792,0.0,0.0,2.0,0.6657455900671252,,,
B25-158899,clam_gate,3.0,212.0,3.0041505792,0.0,0.0,0.0,0.0,,,
B25-158899,clam_combinado,3.0,212.0,3.0041505792,0.0,0.0,1.0,0.3328727950335626,,,
B25-158899,azar,3.0,212.0,3.0041505792,0.235,0.0,0.36,0.11983420621208253,2.0,0.0,2.0
B25-158899,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,1.0,0.9939300358748631,,,
B25-158899,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
B25-158899,clam_combinado,1.0,71.0,1.0061070336,0.0,0.0,1.0,0.9939300358748631,,,
B25-158899,azar,1.0,71.0,1.0061070336,0.06,0.0,0.1,0.0993930035874863,1.0,0.0,1.0
144317,sin_filtro,lamina_entera,,,3.0,0.0,10.0,,,,
144317,teselado,lamina_entera,4769.0,67.5792175104,3.0,0.0,10.0,0.14797448636425933,,,
144317,clam_mitosis,lamina_entera,4769.0,67.5792175104,3.0,0.0,10.0,0.14797448636425933,,,
144317,clam_gate,lamina_entera,4769.0,67.5792175104,3.0,0.0,10.0,0.14797448636425933,,,
144317,clam_combinado,lamina_entera,4769.0,67.5792175104,3.0,0.0,10.0,0.14797448636425933,,,
144317,azar,lamina_entera,4769.0,67.5792175104,3.0,0.0,10.0,0.14797448636425933,3.0,0.0,10.0
144317,clam_mitosis,30.0,2118.0,30.0131647488,3.0,0.0,4.0,0.13327484900305056,,,
144317,clam_gate,30.0,2118.0,30.0131647488,2.0,0.0,2.0,0.06663742450152528,,,
144317,clam_combinado,30.0,2118.0,30.0131647488,3.0,0.0,3.0,0.09995613675228791,,,
144317,azar,30.0,2118.0,30.0131647488,1.24,0.0,4.47,0.14893464376090898,3.0,0.0,8.0
144317,clam_mitosis,10.0,706.0,10.004388249600002,2.0,0.0,2.0,0.19991227350457583,,,
144317,clam_gate,10.0,706.0,10.004388249600002,2.0,0.0,1.0,0.09995613675228791,,,
144317,clam_combinado,10.0,706.0,10.004388249600002,2.0,0.0,1.0,0.09995613675228791,,,
144317,azar,10.0,706.0,10.004388249600002,0.435,0.0,1.635,0.16342828358999073,2.0,0.0,5.0
144317,clam_mitosis,3.0,212.0,3.0041505792,1.0,0.0,1.0,0.3328727950335626,,,
144317,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
144317,clam_combinado,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
144317,azar,3.0,212.0,3.0041505792,0.1,0.0,0.395,0.13148475403825724,1.0,0.0,2.0
144317,clam_mitosis,1.0,71.0,1.0061070336,1.0,0.0,1.0,0.9939300358748631,,,
144317,clam_gate,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
144317,clam_combinado,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
144317,azar,1.0,71.0,1.0061070336,0.04,0.0,0.14,0.13915020502248085,1.0,0.0,2.0
164001,sin_filtro,lamina_entera,,,3.0,0.0,20.0,,,,
164001,teselado,lamina_entera,3796.0,53.791299993600006,3.0,0.0,15.0,0.27885550268881165,,,
164001,clam_mitosis,lamina_entera,3796.0,53.791299993600006,3.0,0.0,15.0,0.27885550268881165,,,
164001,clam_gate,lamina_entera,3796.0,53.791299993600006,3.0,0.0,15.0,0.27885550268881165,,,
